GSEID	Original_Clinical_Variable_Name	NCI_Thesaurus_Code	NCI_Thesaurus_Preferred_Name	Comment																				
GSE10320	Relapse	C38155	Recurrent Disease																					
GSE1456	Death_BC_Group	C125201	Overall Survival	Whether 5 years elapsed before death due to breast cancer.																				
GSE1456	ELSTON	C138986	Nottingham Grade																					
GSE1456	Relapse_Group	C17751	Disease-Free Survival	Whether 5 years elapsed before a relapse.																				
GSE15296	phenotype	C114838	Acute Allograft Nephropathy																					
GSE19804	age	C37908	Age-Years																					
GSE19804	stage	C16899	Stage																					
GSE20181	Response	C140466	Evaluation of Response to Treatment																					
GSE20189	case_status	C99268	Participant Case or Control Status																					
GSE20189	smoking_status	C19796	Smoking Status																					
GSE20189	Stage	C16899	Stage																					
GSE2109_Breast	Alcohol_Consumption	C16273	Alcohol Consumption																					
GSE2109_Breast	ER	C16150	Estrogen Receptor Status																					
GSE2109_Breast	Ethnic_Background	C16564	Ethnic Group																					
GSE2109_Breast	Family_History_of_Cancer	C29878	Family Cancer History																					
GSE2109_Breast	Grade	C18000	Histologic Grade																					
GSE2109_Breast	HER2_Neu	C16152	HER2/Neu Status																					
GSE2109_Breast	Histology	C19165	Cancer Histology																					
GSE2109_Breast	Multiple_Tumors	C39787	Multiple Tumor Masses																					
GSE2109_Breast	Oophorectomy	C15291	Oophorectomy																					
GSE2109_Breast	Patient_Age	C37908	Age-Years																					
GSE2109_Breast	Stage	C16899	Stage																					
GSE2109_Breast	Tobacco_Use	C18059	Tobacco Use																					
GSE2109_Colon	Alcohol_Consumption	C16273	Alcohol Consumption																					
GSE2109_Colon	Ethnic_Background	C16564	Ethnic Group																					
GSE2109_Colon	Family_History_of_Cancer	C29878	Family Cancer History																					
GSE2109_Colon	Gender	C28421	Sex																					
GSE2109_Colon	Grade	C18001	Histologic Grade																					
GSE2109_Colon	Histology	C19165	Cancer Histology																					
GSE2109_Colon	M	C25727	M Stage																					
GSE2109_Colon	Multiple_Tumors	C39787	Multiple Tumor Masses																					
GSE2109_Colon	N	C25580	N Stage																					
GSE2109_Colon	Patient_Age	C37908	Age-Years																					
GSE2109_Colon	Stage	C16899	Stage																					
GSE2109_Colon	T	C25728	T Stage																					
GSE2109_Colon	Tobacco_Use	C18059	Tobacco Use																					
GSE2109_Endometrium	Family_History_of_Cancer	C29878	Family Cancer History																					
GSE2109_Kidney	Alcohol_Consumption	C16273	Alcohol Consumption																					
GSE2109_Kidney	Ethnic_Background	C16564	Ethnic Group																					
